run,learner_id,country,age_range,highest_education_level,started_course,steps_completed,max_week_completed,last_week,early_dropout,id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
6,38e35623-d59d-4938-a04b-80bd0b33e060,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,5f717ba1-21eb-4db5-a9c6-120bbd075198,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,58ddd245-1c80-40ca-b1d0-279cc45b9de2,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,dff7bfa5-bff0-4bfe-b567-45b3b3b23075,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,f797f456-a70c-493c-b5a9-720c236d0514,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,b70bfa1c-47c8-45ef-964b-04b2779fa777,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,e0281474-f5d6-41a2-966e-cd4fd031c960,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,26f29aa1-cbd8-4eee-87d4-64c5cb677683,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,fa910252-59df-43b2-913f-3407e5f90246,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,b43f778f-d18b-4e05-acac-43d955482e38,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,3aa14e80-f09d-4ad5-ba62-2387450ae8c5,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,6ac9ab95-97b3-4e79-bea2-cb017e28ffce,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,1d7bfadd-ce8a-4163-9ae4-98b62033b4e8,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,fd9aaec4-ea5b-41ef-a94b-444ee53f2532,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,aec28826-ce4e-4658-9a4e-67e3d43573aa,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,3747790d-2989-45f9-9692-94cdf472ef4e,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,a7da2cd0-2083-4d4b-97f1-dad8b2191862,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,428f0349-4373-42df-a0bd-dc23ade2c26c,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,74621fce-7999-4047-ad60-c1000a60c92e,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,fab0c594-cf2b-4c74-b04b-9515a318b60b,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,81da21df-800c-494e-8ba9-0f815b6eb913,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,1594e9a8-c7fc-42a0-864a-f4c365753123,NA,NA,NA,TRUE,3,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,fa570bb2-529c-442c-8178-c041199a5688,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
